
Dept. of the Interior
U.S. Geological Survey
Energy Resources Team

Selected Data from Fourteen Wildcat Wells in 
the National Petroleum Reserve in Alaska

USGS Open File Report 00-200 

Wildcat Well East Simpson 2 Permeability, Porosity, and Grain Density Information

         Permeability   Permeability                      Grain           Oil           Total
 Depth,   Horizontal,     Vertical,      Porosity        Density      Saturation        Water                         Analysis
  feet   millidarcies   millidarcies      percent         g/cc          percent        percent    Core Type           method              Remarks
  1150        44                           29.2           2.65                                    sidewall            Dean-Stark          ss, vfgr, slty
  1482        338                          30.3           2.68                                    sidewall            Dean-Stark          ss, vf-fgr slty
  1754        211                          29.3           2.71                                    sidewall            Dean-Stark          ss, vf-fgr cly slty
  2326        40                           27.8           2.65                                    sidewall            Dean-Stark          ss, vfr slty
  2340        20                           26.9           2.64                                    sidewall            Dean-Stark          ss, vfr slty
  2387        296                          28.6           2.68                                    conventional        full diameter       ss, fgr
  2388        332                          29.2           2.69                                    conventional        full diameter       ss, fgr
  2389        232                          28.2           2.69                                    conventional        full diameter       ss, fgr
  2390        153                          27.4           2.69                                    conventional        full diameter       ss, fgr
  2391        160                          27.7           2.69                                    conventional        full diameter       ss, fgr
  2392        89                           26.4           2.69                                    conventional        full diameter       ss, vf-fgr
  2393        12                           22.9            2.7                                    conventional        full diameter       ss, vfgr
  2394        94                           26.6            2.7                                    conventional        full diameter       ss, vf-fgr
  2395        116                          26.9            2.7                                    conventional        full diameter       ss, vf-fgr
  2396        89                           26.1            2.7                                    conventional        full diameter       ss, vf-fgr
  2397        80                           26.2            2.7                                    conventional        full diameter       ss, vf-fgr
  2398        63                           25.6           2.69                                    conventional        full diameter       ss, vf-fgr
  2399       3.77                          21.7           2.71                                    conventional        full diameter       ss, vf-fgr
  2400        88                           26.4           2.69                                    conventional        full diameter       ss, vf-fgr
  2401        32                           24.8            2.7                                    conventional        full diameter       ss, vf-fgr
  2402        20                           24.1            2.7                                    conventional        full diameter       ss, vfgr carb lam
  2403        74                            26             2.7                                    conventional        full diameter       ss, vfgr
  2404        43                           25.3            2.7                                    conventional        full diameter       ss, vfgr
  2405       7.75                          24.2            2.7                                    conventional        full diameter       ss, vfgr
  2406        49                           25.2           2.69                                    conventional        full diameter       ss, vfgr
  2407        38                           24.8            2.7                                    conventional        full diameter       ss, vfgr
